timestamp,gpu_utilization,memory_utilization,encoder_utilization,decoder_utilization
Thu Aug  1 12:18:38 2024,0,0,0,0
Thu Aug  1 12:18:39 2024,0,0,0,0
Thu Aug  1 12:18:40 2024,0,0,0,0
Thu Aug  1 12:18:41 2024,0,0,0,0
Thu Aug  1 12:18:42 2024,0,0,0,0
Thu Aug  1 12:18:43 2024,0,0,0,0
Thu Aug  1 12:18:44 2024,0,0,0,0
Thu Aug  1 12:18:45 2024,0,0,0,0
Thu Aug  1 12:18:46 2024,0,0,0,0
Thu Aug  1 12:18:47 2024,0,0,0,0
Thu Aug  1 12:18:48 2024,0,0,0,0
Thu Aug  1 12:18:49 2024,0,0,0,0
Thu Aug  1 12:18:50 2024,0,0,0,0
Thu Aug  1 12:18:51 2024,0,0,0,0
Thu Aug  1 12:18:52 2024,0,0,0,0
Thu Aug  1 12:18:53 2024,0,0,0,0
Thu Aug  1 12:18:54 2024,0,0,0,0
Thu Aug  1 12:18:55 2024,0,0,0,0
Thu Aug  1 12:18:56 2024,0,0,0,0
Thu Aug  1 12:18:57 2024,0,0,0,0
Thu Aug  1 12:18:58 2024,0,0,0,0
Thu Aug  1 12:18:59 2024,0,0,0,0
Thu Aug  1 12:19:00 2024,0,0,0,0
Thu Aug  1 12:19:01 2024,0,0,0,0
Thu Aug  1 12:19:03 2024,0,0,0,0
Thu Aug  1 12:19:04 2024,0,0,0,0
Thu Aug  1 12:19:05 2024,0,0,0,0
Thu Aug  1 12:19:06 2024,0,0,0,0
Thu Aug  1 12:19:07 2024,0,0,0,0
Thu Aug  1 12:19:08 2024,0,0,0,0
Thu Aug  1 12:19:09 2024,0,0,0,0
Thu Aug  1 12:19:10 2024,0,0,0,0
Thu Aug  1 12:19:11 2024,0,0,0,0
Thu Aug  1 12:19:12 2024,0,0,0,0
Thu Aug  1 12:19:13 2024,0,0,0,0
Thu Aug  1 12:19:14 2024,0,0,0,0
Thu Aug  1 12:19:15 2024,0,0,0,0
Thu Aug  1 12:19:16 2024,0,0,0,0
Thu Aug  1 12:19:17 2024,0,0,0,0
Thu Aug  1 12:19:18 2024,0,0,0,0
Thu Aug  1 12:19:19 2024,0,0,0,0
Thu Aug  1 12:19:20 2024,0,0,0,0
Thu Aug  1 12:19:21 2024,0,0,0,0
Thu Aug  1 12:19:22 2024,0,0,0,0
Thu Aug  1 12:19:23 2024,0,0,0,0
Thu Aug  1 12:19:24 2024,0,0,0,0
Thu Aug  1 12:19:25 2024,0,0,0,0
Thu Aug  1 12:19:26 2024,0,0,0,0
Thu Aug  1 12:19:27 2024,0,0,0,0
Thu Aug  1 12:19:28 2024,0,0,0,0
Thu Aug  1 12:19:29 2024,0,0,0,0
Thu Aug  1 12:19:30 2024,0,0,0,0
Thu Aug  1 12:19:31 2024,0,0,0,0
Thu Aug  1 12:19:32 2024,0,0,0,0
Thu Aug  1 12:19:33 2024,0,0,0,0
Thu Aug  1 12:19:34 2024,0,0,0,0
Thu Aug  1 12:19:35 2024,0,0,0,0
Thu Aug  1 12:19:36 2024,0,0,0,0
Thu Aug  1 12:19:37 2024,0,0,0,0
Thu Aug  1 12:19:38 2024,0,0,0,0
Thu Aug  1 12:19:40 2024,0,0,0,0
Thu Aug  1 12:19:41 2024,0,0,0,0
Thu Aug  1 12:19:42 2024,0,0,0,0
Thu Aug  1 12:19:43 2024,0,0,0,0
Thu Aug  1 12:19:44 2024,0,0,0,0
Thu Aug  1 12:19:45 2024,0,0,0,0
Thu Aug  1 12:19:46 2024,0,0,0,0
Thu Aug  1 12:19:47 2024,0,0,0,0
Thu Aug  1 12:19:48 2024,0,0,0,0
Thu Aug  1 12:19:49 2024,0,0,0,0
